place;COMMUNE;prix;date_end;date_start;Etoiles
35  Place de Beaune;;CHALON-SUR-SAÔNE;175;05/03/2023;23/02/2023;2
371 rue de la république;;CHAMBÉRY;125;16/07/2021;08/07/2021;1
Rue des Fougères;;CHANTILLY;269;15/05/2022;05/05/2022;4
91 rue Henry Bessemer;;CREIL;179;19/04/2022;14/04/2022;2
24 AVENUE GUSTAVE EIFFEL;;CHARTRES;258;19/12/2023;11/12/2023;4
118 avenue d'occitanie;;SAINT-MAUR;242;27/03/2024;18/03/2024;1
210 AVENUE GUSTAVE EIFFEL;;DÉOLS;92;21/08/2024;12/08/2024;3
Rue Maisonneuve;;CHOLET;102;14/03/2022;07/03/2022;3
avenue du 8 mai 1945;;SAINT-MARTIN-SUR-LE-PRÉ;109;05/11/2022;27/10/2022;2
384 AVENUE DE VERDUN;;CHÂTEAUROUX;65;20/05/2024;13/05/2024;3
6 rue Louis Armstrong;;RIOM;284;27/03/2023;22/03/2023;4
9 Rue de l'Eminée;;CLERMONT-FERRAND;166;27/02/2023;20/02/2023;2
2 rue de la fecht;;COLMAR;221;24/07/2024;19/07/2024;4
4 rue René Dumont;;COMBS-LA-VILLE;201;10/06/2021;31/05/2021;5
10 avenue Marcelin Berthelot;;COMPIÈGNE;101;21/03/2022;14/03/2022;4
56 Rue Henri Laroche;;CRÉPY-EN-VALOIS;127;01/08/2020;27/07/2020;3
Avenue Jean Rostand, Carrefour du Général de Gaulle;;BONNEUIL-SUR-MARNE;160;01/03/2023;20/02/2023;2
1 rue des Tournesols;;CANNES-ÉCLUSE;267;26/09/2022;19/09/2022;5
ZAC d'Augny;;AUGNY;191;30/10/2020;21/10/2020;3
210 allée de l'espace saint-martin;;PONT-À-MOUSSON;188;28/06/2024;21/06/2024;2
5 rue Louis Breguet;;TINQUEUX;148;28/11/2020;18/11/2020;4
96 route du Buchel;;THIONVILLE;109;29/03/2022;22/03/2022;3
382 rue providence;;SAINT-AUBIN-SUR-SCIE;171;26/02/2024;16/02/2024;3
3 impasse Houdry;;DIGNE-LES-BAINS;133;11/07/2024;01/07/2024;4
12/14 rue Pierre De Coubertin;;DIJON;216;17/08/2023;07/08/2023;5
7-9 rue du Docteur Albert Rémy;;DIJON;73;29/03/2022;23/03/2022;4
1 rue Ampère;;CHILLY-MAZARIN;271;14/12/2022;07/12/2022;2
D 2020;;SARAN;76;24/03/2022;17/03/2022;4
92 avenue de la république;;LURE;141;30/09/2024;24/09/2024;1
54 route de Jeuxey;;ÉPINAL;101;28/07/2022;20/07/2022;2
23 BOULEVARD JEAN JAURèS;;ARPAJON;149;12/06/2024;04/06/2024;5
Parc des Rosati;;SAINT-LAURENT-BLANGY;95;04/04/2022;25/03/2022;2
Rue du fosse au bois;;APPOIGNY;227;19/12/2024;09/12/2024;1
Allée l'Oiseau de France;;LORMONT;61;23/08/2022;16/08/2022;2
22 place Jean Jaurès;;BÉZIERS;119;21/03/2022;16/03/2022;3
Chemin de Canéjan;;CESTAS;157;26/12/2024;16/12/2024;4
4 rue André Marie Ampère;;CHAMPFORGEUIL;275;07/04/2022;30/03/2022;5
82 CHEMIN DE DONNAVIGNAT;;GERZAT;280;17/08/2020;10/08/2020;4
4 rue des ardennes;;DIJON;112;11/04/2023;06/04/2023;5
1 rue des Bas Buissons;;DREUX;257;06/03/2022;24/02/2022;1
25 Rue Pascal;;AYTRÉ;139;20/03/2020;11/03/2020;2
14 rue Ampère;;GONESSE;173;07/10/2021;01/10/2021;5
Rue du chateau d'eau;;GONFREVILLE-L'ORCHER;275;19/03/2023;13/03/2023;5
7 rue entre deux villes;;VILLENEUVE-D'ASCQ;241;15/09/2020;08/09/2020;3
30 Rue Frédéric Bastiat;;LIMOGES;275;20/11/2022;14/11/2022;2
12 boulevard de Tholon;;MARTIGUES;121;30/05/2024;21/05/2024;3
24 allée des bruyères;;MARTIGUES;129;06/12/2023;28/11/2023;5
54 rue du fort gambetta;;WOIPPY;269;17/07/2024;09/07/2024;3
30 Rue Léon Cladel;;MONTAUBAN;256;20/07/2023;10/07/2023;4
Place de la Méditerranée;;SAINT-JEAN-DE-VÉDAS;237;21/11/2023;16/11/2023;2
3 rue du petit Chatelier;;NANTES;215;31/12/2020;24/12/2020;2
224 Rue d'Espagne;;NARBONNE;66;03/12/2024;28/11/2024;4
20 rue de la Chistera;;-;147;02/04/2020;24/03/2020;5
ROUTE NATIONALE 20 ORLEANS SUD LE BOIS DE LA SOURCE;;OLIVET;161;18/03/2024;08/03/2024;1
Boulevard BONAVAL;;BRIGNOLES;168;05/05/2024;25/04/2024;3
12 RUE JACQUES MARITAIN;;REIMS;229;22/06/2024;12/06/2024;3
impasse de l'enclos;;VEZIN-LE-COQUET;175;23/12/2023;18/12/2023;5
238 rue Denis Papin;;BARENTIN;273;07/03/2022;02/03/2022;3
52 rue de Gué Lambert;;TRÉGUEUX;101;12/10/2020;07/10/2020;2
9 Rue de la côte de beauté;;SAINTES;63;17/03/2022;11/03/2022;3
285 avenue de Rome;;LA SEYNE-SUR-MER;165;26/11/2021;17/11/2021;1
137 avenue du Grand Sud;;CHAMBRAY-LÈS-TOURS;113;05/02/2025;28/01/2025;2
3 voie des Clouets;;VAL-DE-REUIL;136;27/04/2021;20/04/2021;4
100 allée André Revol;;BOURG-LÈS-VALENCE;131;25/09/2021;17/09/2021;3
Zac du Luc;;DECHY;174;21/12/2021;16/12/2021;5
114 rue Bertaux;;FONTENAY-TRÉSIGNY;118;04/12/2020;24/11/2020;1
422 avenue andré léotard;;FRÉJUS;248;07/10/2022;27/09/2022;2
116 cours de la Libération;;GRENOBLE;124;11/03/2022;01/03/2022;3
Les Coinchettes;;ISSOUDUN;205;28/04/2021;21/04/2021;5
Aire de La Garde;;ALBARET-SAINTE-MARIE;182;23/04/2021;16/04/2021;2
Boulevard Arago;;LA ROCHE-SUR-YON;238;27/12/2021;17/12/2021;5
51 rue de Périgny;;LA ROCHELLE;266;07/07/2021;01/07/2021;1
34 RUE DE LA SCIERIE;;LA ROCHELLE;235;22/11/2023;13/11/2023;5
29 boulevard Jobert;;LAMBALLE;148;14/06/2023;06/06/2023;3
Chemin de Kerzolles;;LANNION;121;19/03/2022;10/03/2022;4
111 avenue Charles de Gaulle;;LAON;98;26/03/2023;16/03/2023;4
165 boulevard des Trappistines;;LAVAL;198;09/05/2022;02/05/2022;1
219 Avenue Descartes;;LE BLANC-MESNIL;75;12/02/2023;06/02/2023;3
134-136 Avenue de la division Leclerc;;LE BOURGET;177;30/12/2022;20/12/2022;2
56 Route du Pont Jeanne Rose;;MONTCHANIN;156;24/10/2022;14/10/2022;1
Quai Colbert;;LE HAVRE;67;22/03/2022;14/03/2022;4
345 avenue Bollée;;LE MANS;212;03/11/2022;24/10/2022;4
Départementale 940;;ÉTAPLES;217;24/03/2022;18/03/2022;4
1 avenue de Paris;;LORMONT;72;04/12/2021;24/11/2021;5
8 boulevard Franklin Roosevelt;;LES SABLES-D'OLONNE;257;16/05/2022;09/05/2022;1
14 avenue des Andes;;LES ULIS;120;01/10/2024;23/09/2024;2
8 route de Jourdan;;ARVEYRES;161;17/09/2022;07/09/2022;3
61 avenue Henri Delecroix;;HEM;117;08/12/2021;03/12/2021;3
15 avenue de la créativité;;VILLENEUVE-D'ASCQ;86;20/04/2023;12/04/2023;5
53 rue Christophe Colomb;;LILLE;237;17/03/2022;08/03/2022;4
56 avenue Léon Blum;;MONS-EN-BARŒUL;180;14/12/2022;06/12/2022;3
22 allée de Séto;;LIMOGES;72;19/06/2022;14/06/2022;1
984 AVENUE GEORGES DUVAL;;LISIEUX;171;21/02/2024;12/02/2024;2
Rue du 24 Avril 1915;;MEYZIEU;279;10/06/2021;02/06/2021;5
15 rue Edouard Branly;;BOURGOIN-JALLIEU;135;24/07/2022;19/07/2022;5
12 rue Maryse Bastié;;BRON;256;21/01/2022;14/01/2022;2
Rue Jacques Vaucanson;;SAINT-BONNET-DE-MURE;191;19/01/2022;14/01/2022;3
565 rue de Sans Souci;;LIMONEST;139;27/02/2022;17/02/2022;2
1 quai Georges Levy;;GIVORS;106;18/06/2021;08/06/2021;1
179 route de Vourles;;SAINT-GENIS-LAVAL;147;03/07/2022;24/06/2022;5
35 chemin de la croix pivort;;SAINTE-FOY-LÈS-LYON;103;03/09/2024;28/08/2024;4
3 AVenue JEAN MOULIN;;TORCY;274;09/12/2024;29/11/2024;4
4 rue Émile Duclaux;;MARSEILLE 4E ARRONDISSEMENT;251;22/03/2022;15/03/2022;1
250 avenue du château de Jouques, Parc d'activités de Gémenos;;GÉMENOS;207;12/03/2023;06/03/2023;4
47 avenue José Nobre;;MARTIGUES;81;28/03/2022;18/03/2022;1
162 Boulevard Rabatau Daniel Matalon;;MARSEILLE 10E ARRONDISSEMENT;144;21/03/2021;15/03/2021;5
32 avenue de la victoire;;MEAUX;177;06/02/2023;30/01/2023;1
23 avenue de la foulée;;NANTEUIL-LÈS-MEAUX;228;08/08/2020;29/07/2020;3
8 rue du père Potot;;METZ;226;27/06/2022;21/06/2022;3
1250 avenue d'Antibes;;AMILLY;119;02/02/2022;28/01/2022;3
1461 route du Nord;;MONTAUBAN;169;07/04/2022;29/03/2022;1
Impasse Louis Lépine, Zone industrielle Albasud;;MONTAUBAN;197;14/02/2023;08/02/2023;3
34 avenue du Maréchal Joffre;;MONTBÉLIARD;216;15/05/2022;10/05/2022;1
2 rue du commerce;;SAINT-VICTOR;251;05/08/2023;26/07/2023;5
Espace commercial fréjorgues ouest, 273 rue Roland garros;;MAUGUIO;201;03/11/2023;26/10/2023;1
890 avenue Jean Mermoz;;MONTPELLIER;258;15/06/2022;08/06/2022;3
177 avenue Louis Lumière;;LUNEL;86;05/04/2022;28/03/2022;5
35 avenue des orchidées;;SAINT-CLÉMENT-DE-RIVIÈRE;98;19/12/2022;09/12/2022;1
22 Bis Rue Robert Schuman;;SAINT-JEAN-DE-VÉDAS;162;20/02/2025;12/02/2025;5
25 rue du Puech Radier;;LATTES;238;26/06/2022;17/06/2022;3
10 rue de pfastatt;;LUTTERBACH;171;09/10/2022;04/10/2022;5
23 rue des Trois Frontières;;ILLZACH;271;14/12/2020;04/12/2020;4
Parc Saint-Jacques;;MAXÉVILLE;211;31/05/2022;25/05/2022;1
338 impasse Berthollet;;LUDRES;168;03/03/2022;24/02/2022;4
route de Nantes;;BOUAYE;71;04/04/2023;29/03/2023;2
A6 aire de darvault, route de sens;;NEMOURS;234;28/12/2022;22/12/2022;4
35 boulevard Victor Hugo;;NEVERS;230;24/01/2022;14/01/2022;3
27 Avenue Vérola;;NICE;80;16/10/2022;10/10/2022;4
25 rue Condorcet;;NIORT;226;04/03/2022;22/02/2022;5
Rue vasco de gama;;LA CRÈCHE;102;27/07/2022;19/07/2022;3
rond-point de l’Europe;;NUITS-SAINT-GEORGES;104;21/03/2020;16/03/2020;3
10 rue Roussy;;NÎMES;64;15/11/2022;10/11/2022;5
157 rue Tony Garnier;;NÎMES;294;04/07/2022;27/06/2022;2
86 avenue de l'Arc de Triomphe;;ORANGE;165;09/02/2022;31/01/2022;3
5 rue Paul Demange;;ATHIS-MONS;122;05/03/2022;25/02/2022;4
Rue du Soulor;;ORTHEZ;163;05/08/2022;26/07/2022;5
5 Rue Véronèse;;PARIS 13E ARRONDISSEMENT;216;22/07/2022;13/07/2022;4
78 boulevard Ornano;;PARIS;122;18/02/2025;12/02/2025;1
17 rue Baron Le Roy;;PARIS 12E ARRONDISSEMENT;240;13/06/2021;08/06/2021;4
12 rue du Maréchal Leclerc;;SAINT-MAURICE;89;15/07/2023;07/07/2023;3
54 rue de Paris;;CHAUMONTEL;240;01/04/2022;23/03/2022;2
9 rue La Fontaine;;SAINT-OUEN-SUR-SEINE;167;10/03/2022;03/03/2022;4
Route Nationale 16;;ÉCOUEN;134;19/09/2023;13/09/2023;3
1 rue Albert Camus;;COLOMBES;139;25/09/2022;16/09/2022;4
30 rue Lucien Sampaix;;PARIS 10E ARRONDISSEMENT;169;14/08/2022;05/08/2022;1
Zone Artisanale Grand Font;;BOULAZAC ISLE MANOIRE;78;07/06/2023;31/05/2023;1
142 route de Paris;;PÉRONNE;205;22/02/2021;15/02/2021;2
2 RUE OLIVIER DE SERRES;;RIVESALTES;118;23/11/2023;15/11/2023;4
30 rue du Docteur Koch;;PERPIGNAN;192;21/10/2022;14/10/2022;4
Avenue du Pressoir;;PLAISIR;295;15/06/2021;09/06/2021;1
3 AVENUE JEAN MONNET;;CHASSENEUIL-DU-POITOU;296;27/12/2019;20/12/2019;5
8 rue Jean Petite;;PONTARLIER;84;20/09/2022;12/09/2022;2
Avenue François Mitterrand, place bozzi;;CHARLEVILLE-MÉZIÈRES;167;04/11/2023;30/10/2023;3
9 allée Raymond Poincaré;;THIONVILLE;160;04/02/2021;29/01/2021;2
9 rue Aime Cotton;;SAINT-PRIEST;259;11/12/2022;01/12/2022;5
74 route de Pommard;;BEAUNE;133;27/12/2022;20/12/2022;5
116 avenue de Magudas;;MÉRIGNAC;256;31/03/2022;22/03/2022;2
25 avenue de la libération;;CLERMONT-FERRAND;265;14/10/2023;06/10/2023;2
20 avenue du Maréchal Foch;;DIJON;172;03/03/2022;22/02/2022;3
2 rue Suzanne Lenglen;;PAU;175;23/03/2022;16/03/2022;2
35 boulevard Saint Assiscle;;PERPIGNAN;206;14/03/2022;08/03/2022;3
4 rue de la Guymauvière;;SAINT-MALO;162;02/07/2021;25/06/2021;1
36 rue des Grandes Murailles;;VANNES;153;11/11/2021;05/11/2021;4
4 rue Hyacinthe le Bleis;;PONT-L'ABBÉ;137;18/06/2022;08/06/2022;1
6 place de la gare;;RENNES;195;11/11/2022;04/11/2022;1
Zone d'Activité André et Yvonne Meynier;;RENNES;92;08/03/2023;01/03/2023;1
31 rue du Bignon;;CHANTEPIE;92;31/05/2023;24/05/2023;2
38 avenue maréchal joffre;;RODEZ;160;06/11/2023;30/10/2023;1
31 rue Désiré Granet;;SAINT-ÉTIENNE-DU-ROUVRAY;164;18/02/2025;12/02/2025;3
Ruelle du coin des Saules;;VAL-DE-REUIL;201;28/07/2022;19/07/2022;5
27 rue de la saussaie;;SAINT-FARGEAU-PONTHIERRY;196;28/02/2023;21/02/2023;5
49 Chaussée du Sillon;;SAINT-MALO;110;04/12/2022;29/11/2022;2
26 avenue des trois Peuples;;MONTIGNY-LE-BRETONNEUX;159;04/02/2023;25/01/2023;5
8 rue Alain Colas;;TRÉGUEUX;261;28/12/2023;22/12/2023;2
14 rue des Genêts;;LA RICHARDAIS;210;24/04/2023;19/04/2023;4
77 rue de la Montat;;SAINT-ÉTIENNE;64;05/07/2021;29/06/2021;1
23 rue Daillé;;SAUMUR;293;05/10/2022;27/09/2022;2
Parc de Frénois, lieu-dit le Moulin;;SEDAN;271;15/02/2023;07/02/2023;2
Route de Troyes;;MALAY-LE-GRAND;289;17/03/2022;10/03/2022;5
100 Boucle de la ramée;;SAINT-QUENTIN-FALLAVIER;60;22/06/2024;13/06/2024;2
6 avenue Pierre Mendès France;;SCHILTIGHEIM;194;31/03/2022;24/03/2022;1
59 rue du Maréchal Foch;;LINGOLSHEIM;119;29/01/2024;19/01/2024;1
13 Centre Commercial Balaruc Loisirs;;BALARUC-LE-VIEUX;105;17/03/2022;07/03/2022;2
RUE MORANE SAULNIER, ROUTE DE LOURDES, ZI DE BASTILLAC;;TARBES;146;18/11/2022;10/11/2022;2
Route de Lourdes;;ODOS;62;27/05/2022;20/05/2022;3
4 rue Raymond Grimaud;;BLAGNAC;204;16/11/2022;10/11/2022;5
1 chemin des moines;;ROQUES;258;22/01/2024;16/01/2024;4
65 avenue de Grammont;;TOURS;258;09/07/2023;29/06/2023;2
4-8 rue Edouard Branly;;JOUÉ-LÈS-TOURS;94;23/03/2022;16/03/2022;3
Rue Fabienne Landy;;SAINT-PIERRE-DES-CORPS;134;20/05/2022;12/05/2022;5
4 rue Sirocco, ZA la Châtaigneraie;;BALLAN-MIRÉ;120;27/02/2023;21/02/2023;4
38 rue de la Berchottière;;CHAMBRAY-LÈS-TOURS;108;17/02/2022;09/02/2022;2
44 avenue Chomedey de Maisonneuve;;TROYES;105;24/03/2022;16/03/2022;1
159 Avenue De Lyon;;BOURG-LÈS-VALENCE;120;24/12/2022;16/12/2022;1
6/8 place de la Libération;;VANNES;207;11/12/2020;02/12/2020;1
11 rue de la Poste;;SAINT-MARCEL;265;06/02/2022;31/01/2022;2
146 rue de la Sous-Préfecture;;VILLEFRANCHE-SUR-SAÔNE;232;01/07/2022;24/06/2022;4
1 rue de Madrid, ZI des Estroublans;;VITROLLES;137;06/06/2023;30/05/2023;2
72 Cours Becquart Castelbon;;VOIRON;145;30/08/2022;25/08/2022;2
3 bis rue de lorraine;;ÉPERNAY;96;03/10/2022;23/09/2022;2
93 rue de Rome;;ÉVREUX;207;09/03/2022;01/03/2022;5
32 rue de l'Abbaye des Augustins;;SAINT-CYPRIEN;258;11/07/2023;05/07/2023;4
Route de Santore;;CALVI;172;05/07/2024;28/06/2024;2
2 rue du Maréchal Foch;;KIENTZHEIM;103;20/11/2021;10/11/2021;2
lieu-dit villeneuve;;LES SORINIÈRES;236;19/11/2022;09/11/2022;3
La Croix Blanche;;HÉRIC;95;02/04/2022;28/03/2022;2
920 route de l'Abricotine;;MERCUROL-VEAUNES;65;29/07/2022;21/07/2022;2
3 avenue d'Agen;;ASTAFFORT;184;02/03/2023;24/02/2023;4
rue Jean Moulin;;LA RICAMARIE;223;20/12/2022;15/12/2022;4
63 avenue de Valberg;;VALBERG;230;09/02/2022;04/02/2022;3
22 rue du Débarcadère;;PARIS 17E ARRONDISSEMENT;120;29/10/2021;21/10/2021;3
3 rue des Poulieurs;;SAINT-MALO;143;16/07/2021;08/07/2021;2
1 chemin de la sea;;MONT-DE-LANS;194;03/04/2023;24/03/2023;4
Les Islettes;;VALMEINIER;174;23/08/2024;13/08/2024;2
8 rue de lyon;;THIERS;61;28/06/2023;19/06/2023;1
Rue Principale;;ZONZA;118;10/02/2025;04/02/2025;5
Route des Villards;;VALLOIRE;272;10/10/2021;01/10/2021;3
Montée du Rosset;;TIGNES;233;07/01/2023;02/01/2023;3
683 Rue Joseph Vallot;;CHAMONIX-MONT-BLANC;269;05/10/2024;30/09/2024;2
Rue du maquis de bir hakeim;;YVES;241;18/01/2023;13/01/2023;2
Plage du soleil;;SAINT-TROJAN-LES-BAINS;95;20/11/2022;10/11/2022;4
Coat Menguy;;MORLAIX;85;31/03/2022;23/03/2022;5
12 RUE ANDRIOLI;;NICE;93;17/10/2023;09/10/2023;2
Route du Cap;;BASTIA;131;18/06/2022;08/06/2022;5
74 allée des Marmousets;;MEGÈVE;168;06/08/2021;30/07/2021;2
7151 Route du Chinaillon;;LE GRAND-BORNAND;183;26/08/2020;19/08/2020;4
Rue de l'ancienne mairie;;LANDRY;252;11/02/2023;01/02/2023;2
2 avenue Carnot;;NARBONNE;199;14/02/2022;09/02/2022;2
206 rue de la ville;;SAINT-VÉRAN;215;14/07/2023;07/07/2023;4
14 avenue Pablo Picasso;;NANTERRE;298;18/04/2022;13/04/2022;1
6 Place de la Hourquie;;MORLAÀS;74;02/11/2022;28/10/2022;5
56 avenue Plaisance du Touch;;SAINT-RÉMY-DE-PROVENCE;168;05/12/2021;30/11/2021;3
2 place Louis Debette;;AUBRIVES;100;28/10/2022;18/10/2022;5
8 rue des Châteaux;;OTTROTT;240;14/02/2022;07/02/2022;2
Route de l'Aubisque;;EAUX-BONNES;78;02/02/2022;25/01/2022;3
10 rue de l’évêque;;BOLQUÈRE;183;24/10/2022;18/10/2022;1
55 rue de la plage;;PÉNESTIN;249;19/06/2023;14/06/2023;3
LE BOURG;;MOUX-EN-MORVAN;68;31/08/2020;26/08/2020;3
10/12 Rue de Charonne;;PARIS 11E ARRONDISSEMENT;64;23/03/2022;14/03/2022;2
231 AVENUE SALVADOR ALLENDE;;BOLLÈNE;283;09/10/2024;03/10/2024;2
5 rue Principale;;RIMBACH-PRÈS-GUEBWILLER;179;05/05/2022;29/04/2022;1
27 avenue de la Gare;;PARAY-LE-MONIAL;78;25/03/2022;16/03/2022;5
Route départementale 950;;FRESNES-LÈS-MONTAUBAN;122;10/09/2024;04/09/2024;4
15 Montée Gaston Combéléran;;CARCASSONNE;204;23/07/2022;18/07/2022;4
Promenade de Tovière;;TIGNES;280;03/01/2022;24/12/2021;3
483 route du Gollet;;MEGÈVE;66;02/04/2022;23/03/2022;5
45 boulevard Carnot;;LILLE;200;17/01/2023;12/01/2023;2
601 rue de la frontière, La cure;;LES ROUSSES;117;07/06/2023;01/06/2023;2
12 rue de la ferme;;HYERES;251;29/07/2020;21/07/2020;5
4 rue sous la roche;;APREMONT;81;19/03/2024;12/03/2024;3
42 Boulevard De La Mer;;SANTA-MARIA-DI-LOTA;179;19/06/2023;14/06/2023;3
4088 Route de Saint Nicolas;;SAINT GERVAIS LES BAINS;235;25/07/2024;15/07/2024;1
22 rue du Pont;;MOISSAC;139;07/05/2022;28/04/2022;4
5 Lieu-dit Untermuhlthal;;BAERENTHAL;281;18/03/2022;10/03/2022;5
40 avenue Paul Vaillant Couturier;;TINQUEUX;218;03/05/2023;24/04/2023;4
98 grand place;;AUDINGHEN;76;21/03/2023;14/03/2023;2
2 chemin du bout du monde;;FEURS;260;23/01/2022;14/01/2022;1
ARGENTONESSE;;CASTELS ET BÉZENAC;268;19/08/2020;13/08/2020;2
4 chemin de Landes;;MALBUISSON;142;02/11/2022;25/10/2022;3
42 place de la paix;;SAINT-JEAN-DE-MONTS;81;03/11/2024;28/10/2024;5
U Cateraggio;;ALÉRIA;124;23/06/2023;14/06/2023;3
56 route de Vannes;;SAINTE-ANNE-D'AURAY;201;19/05/2022;13/05/2022;3
380 rue Abbé Bordes;;GAMARDE-LES-BAINS;290;23/02/2024;16/02/2024;5
Vieille Route de Saint-Jean-de-Luz;;SAINT-PÉE-SUR-NIVELLE;211;07/04/2022;28/03/2022;2
17 Grand Place;;MARVILLE;147;25/01/2022;17/01/2022;2
68 rue des Prieurés;;MOUSSY;157;16/01/2021;08/01/2021;1
17 rue de la fruitière;;LE MONÊTIER-LES-BAINS;165;11/09/2024;04/09/2024;1
Le Bourg;;MURET-LE-CHÂTEAU;83;21/04/2023;12/04/2023;1
CHEF LIEU 1450;;SAINT FRANÇOIS LONGCHAMP;200;17/09/2020;08/09/2020;4
800 Route des Burnets;;PRINGY;187;23/01/2025;17/01/2025;3
29 rue Jules Gautier;;SAINT-OUEN-LES-VIGNES;299;19/07/2023;10/07/2023;4
11 rue Alain de Rothschild;;CHAMANT;88;26/09/2024;16/09/2024;3
Rue Principale;;ÉVISA;292;18/08/2022;08/08/2022;5
13/15 rue Victor Micholet;;TOULON;265;25/10/2020;20/10/2020;4
4 rue du Perier de Larsan;;SOULAC-SUR-MER;288;07/03/2024;27/02/2024;5
27 avenue de l'Estacade;;LA BARRE-DE-MONTS;169;16/06/2021;09/06/2021;2
320, Avenue Alexandre sauli;;ALÉRIA;62;10/02/2025;04/02/2025;4
119 boulevard de l’océan;;SAINT-MICHEL-CHEF-CHEF;144;09/11/2022;04/11/2022;2
41 Boulevard Maréchal Juin;;CAGNES-SUR-MER;226;04/11/2022;28/10/2022;4
71 rue du 14 juillet;;CABRIÈRES;182;25/11/2021;16/11/2021;3
le bourg;;MANDAILLES-SAINT-JULIEN;228;30/07/2023;21/07/2023;1
Chef Lieu 109;;LA CHAPELLE-D'ABONDANCE;246;23/02/2025;13/02/2025;1
200 route du musée;;AUDINGHEN;247;17/10/2024;11/10/2024;2
Le Village;;LUS-LA-CROIX-HAUTE;157;29/06/2022;24/06/2022;4
15, route de Montreuil;;RANG-DU-FLIERS;147;30/09/2024;24/09/2024;5
34 rue du Wittertalhof;;LE HOHWALD;158;16/12/2024;11/12/2024;3
Créa Vallée Sud;;NOTRE-DAME-DE-SANILHAC;256;30/06/2024;25/06/2024;4
14 rue de la Croix du Port;;L'ÎLE-D'YEU;230;01/05/2024;23/04/2024;1
10 place Romain Rideau;;PORTS;262;22/01/2025;15/01/2025;4
6 Rue de la Mer;;ESCALLES;231;25/02/2020;19/02/2020;3
Centre Station;;LES ORRES;154;05/04/2022;31/03/2022;3
Route du Port;;L'ÎLE-ROUSSE;173;29/10/2023;23/10/2023;4
22 rue Notre Dame;;L'ÎLE-ROUSSE;145;01/02/2023;24/01/2023;5
5 Avenue André Malraux;;ALÈS;65;04/05/2023;24/04/2023;1
Avenue de la Clairette;;DIE;78;22/10/2022;13/10/2022;1
14 Avenue David d'Angers;;SAUMUR;112;18/04/2020;08/04/2020;1
20 Boulevard des  Arènes;;ROGNONAS;221;15/04/2021;06/04/2021;2
Route de Sainte-Ménéhould;;PRUNAY;215;13/10/2024;07/10/2024;5
74 Cours Sextius;;AIX-EN-PROVENCE;157;08/01/2023;02/01/2023;1
1 rue de la Tartane;;LE PRADET;201;26/01/2022;17/01/2022;3
1 chemin de Vannier;;LE LAVANDOU;246;08/12/2021;02/12/2021;2
120 avenue Roland Carraz;;CHENÔVE;258;08/09/2020;02/09/2020;1
105 rue de l'église;;LIT-ET-MIXE;73;17/11/2022;07/11/2022;2
route de la gare;;SAINT-JACQUES-DES-BLATS;298;13/10/2022;03/10/2022;2
18 rue Pasteur;;METZ;152;14/06/2024;04/06/2024;3
3 avenue Pierre Mendès France;;TRÉGUEUX;214;21/12/2022;15/12/2022;1
2 rue Pontcarral;;DOMME;187;14/06/2022;07/06/2022;1
2 Rues des Faubourgs;;SAINT-GENIÈS-DE-MALGOIRÈS;89;14/06/2023;07/06/2023;4
route de Boistrudan, Domaine du château des pères;;PIRÉ-CHANCÉ;222;19/03/2023;13/03/2023;4
43 rue de condé;;BASSAC;135;29/03/2023;23/03/2023;2
Route du Petit Rhône;;SAINTES-MARIES-DE-LA-MER;232;14/11/2021;08/11/2021;2
197 Boulevard de la plage;;AGAY;142;04/04/2023;27/03/2023;2
9 rue du Lieutenant Maurice Legris;;SAINT-BREVIN-LES-PINS;262;05/07/2022;27/06/2022;5
15 rue du 24 août;;CANNES;120;25/12/2021;16/12/2021;5
15 route de Neuf Brisach;;HORBOURG-WIHR;188;06/11/2020;30/10/2020;5
15 place du 77ème régiment d'infanterie;;CHOLET;286;14/06/2023;05/06/2023;1
1 Route du Jaï;;CHÂTEAUNEUF-LES-MARTIGUES;108;25/04/2024;15/04/2024;3
Z.A.C. les Terrasses;;COQUELLES;205;05/09/2024;28/08/2024;4
8 place aux herbes;;ORANGE;104;28/02/2025;18/02/2025;1
414 chemin du Mas Metoud;;MORZINE;134;17/01/2023;09/01/2023;3
32 rue Emile Machet;;BRIDES-LES-BAINS;201;31/10/2022;24/10/2022;4
614 grande route de Carpentras;;PERNES-LES-FONTAINES;254;29/10/2022;19/10/2022;2
1 chemin de Vilaine;;BUZANÇAIS;130;17/11/2022;09/11/2022;5
198 route de l'Hermitage;;SAINT-GEORGES-D'OLÉRON;95;22/07/2023;12/07/2023;3
224 rue Pierre Mauroy;;LILLE;248;22/12/2024;12/12/2024;3
Route de Carnac;;PLOUHARNEL;232;24/03/2022;18/03/2022;3
48 avenue du Général Faidherbe;;DUNKERQUE;260;06/07/2022;30/06/2022;5
1592 A avenue du Forez;;SAINT-SYMPHORIEN-SUR-COISE;248;08/10/2021;01/10/2021;1
8 rue de l'Enclos;;DONZÈRE;169;21/05/2021;11/05/2021;2
route de la Renarde, chemin Durupt;;LES ALLUES;264;23/04/2023;13/04/2023;3
270 route de la Combe;;MORZINE;100;30/04/2022;22/04/2022;4
11 rue jean-charles Cazin;;LE LAVANDOU;198;19/05/2023;09/05/2023;5
15 rue Victor Méric;;CLICHY;147;27/10/2022;20/10/2022;2
Lieu-dit Les Souquets l'Inattendu;;LE VERNET;71;18/06/2021;08/06/2021;4
