Colonne1;Nom;nbr_place;Prix;Description;Durée;Période
SAINT-PAUL;Circuit VTT n°1 De Saint-Paul à la Geneytouse;5;19;;04:11:35;SOIR
INGWILLER;Sentier botanique et poétique du Seelberg;1;18;;02:17:30;SOIR
INGWILLER;Circuit du Seelberg;5;11;;00:44:29;SOIR
RULLY;Rully le Mont Palais;6;12;;01:13:04;APRES-MIDI
SAINT-MARD-DE-VAUX;Autour du Montabon;1;20;;00:58:23;APRES-MIDI
GIVRY;Balade verte à Poncey vignes, clos et cadoles;2;15;;01:15:18;MATIN
MERCUREY;Les sentiers thématiques de Mercurey;4;10;;02:13:25;SOIR
FONTAINES;Fontaines au bois de Nainglet;2;15;;04:46:56;APRES-MIDI
MAUZÉ-SUR-LE-MIGNON;La Boucle des Jardins - Station de Trail;3;11;;01:33:25;SOIR
MAUZÉ-SUR-LE-MIGNON;La Boucle des Jardins - Station de Trail;5;20;;03:34:24;SOIR
BEAURECUEIL;Roques hautes - circuit VTT 3;1;13;;02:21:40;MATIN
BEAURECUEIL;Roques hautes - circuit VTT 1;1;10;;00:56:14;APRES-MIDI
BEAURECUEIL;Roques hautes - circuit VTT 2;1;11;;01:11:10;SOIR
BERRE-L'ÉTANG;Le sentier de la Randonnée des Amis;1;14;;00:34:37;SOIR
LANGOGNE;SUR LES TRACES DE STEVENSON;4;10;;04:04:48;MATIN
SAINT-CHÉLY-D'APCHER;EOLE ET LE TRUC DE L'HOMME;3;15;;00:58:23;SOIR
PUISEAUX;PR de Chatillon;1;13;;03:19:22;APRES-MIDI
FOS-SUR-MER;Les salins de Fos sur Mer;4;17;;01:05:06;APRES-MIDI
MAUSSANE-LES-ALPILLES;Le vignoble des Alpilles, rêve antique (Circuit 1 / Ouest);3;16;;00:27:49;MATIN
MEYRARGUES;Meyrargues - au coeur du massif de Concors;4;16;;03:27:29;APRES-MIDI
SAINT-CHAMAS;Sentier de la Petite Camargue de St Chamas;3;11;;03:20:52;APRES-MIDI
ROQUEFORT-LA-BÉDOULE;La chapelle Saint André;6;15;;01:22:01;APRES-MIDI
LE THOLONET;Le vignoble de Ste Victoire, sous l'oeil de Cézanne;2;18;;01:41:06;MATIN
AURIOL;Massif Sainte Baume : Du pont des Encanaux au pic de Bertagne;3;19;;00:43:21;APRES-MIDI
SERVANCE-MIELLIN;Le Plateau des Grilloux;6;10;;02:52:51;APRES-MIDI
CÉNAC-ET-SAINT-JULIEN;Boucle Ravary;6;11;;02:03:20;MATIN
CÉNAC-ET-SAINT-JULIEN;Boucle Ravary;3;14;;02:09:50;SOIR
FLORIMONT-GAUMIER;Boucle de Florimont;2;15;;04:32:23;SOIR
FLORIMONT-GAUMIER;Boucle de Florimont;6;14;;03:09:50;SOIR
SAINTE-MONDANE;Boucle des moulins à Sainte Mondane;2;19;;02:40:06;APRES-MIDI
SAINTE-MONDANE;Boucle des moulins à Sainte Mondane;5;17;;03:00:08;MATIN
SAINTE-MONDANE;Boucle de Fénelon;2;11;;02:38:03;APRES-MIDI
SAINTE-MONDANE;Boucle de Fénelon;1;15;;00:05:30;MATIN
CAMPAGNAC-LÈS-QUERCY;Boucle entre Causse et segala;1;15;;00:21:10;SOIR
CAMPAGNAC-LÈS-QUERCY;Boucle entre Causse et segala;3;11;;01:07:03;APRES-MIDI
ÉTANG-SUR-ARROUX;Circuit VTT-FFC Etang-sur-Arroux;1;10;;01:27:55;SOIR
SAINT-GERMAIN;L'Eau et la Pierre;5;16;;02:54:53;MATIN
CHÂTEL-MORON;Randonnée du Château;1;10;;04:19:11;MATIN
JOUHE;Le Mont Roland;2;16;;01:56:18;APRES-MIDI
TANCON;A la rencontre de la nature;6;20;;00:57:57;MATIN
VOUJEAUCOURT;Sentier ludique de la Côte Roux;2;12;;03:48:52;APRES-MIDI
SAINT-SYMPHORIEN-DE-MARMAGNE;Les Quatre Vents;6;13;;02:30:25;MATIN
CHÂTEAUNEUF-SUR-LOIRE;Liaison 20 - Entre Loire et canal;1;18;;01:27:18;MATIN
VENAREY-LES-LAUMES;Venarey Cycles Rando Fitness;6;10;;00:05:08;SOIR
NIORT;Niort et les Deux-Sèvres dans la guerre Franco-Prussienne de 1870-1871;6;13;;01:38:24;APRES-MIDI
NIORT;Niort et les Deux-Sèvres dans la guerre Franco-Prussienne de 1870-1871;6;17;;03:06:02;MATIN
AUTUN;Marche Le Creusot - Autun;1;13;;01:35:33;APRES-MIDI
ARLEUF;Pistes de ski de fond du Haut Folin SKIMO;6;15;;00:49:40;SOIR
ARLEUF;Pistes de ski de fond du Haut Folin SKIMO;6;14;;03:53:17;MATIN
REMIGNY;Boucle C5 : Le Grand Tour de la Montagne de Chassey;3;16;;01:34:15;SOIR
BELFORT;Espace vtt;1;18;;00:24:11;SOIR
BELFORT;Espace vtt;4;18;;04:23:38;MATIN
MARLENHEIM;8.circuit des Monts - Gravel;1;12;;04:11:58;APRES-MIDI
MARLENHEIM;6.Le Petit Kochersberg;4;14;;00:43:37;SOIR
MARLENHEIM;4.Le Fort de Mutzig;1;12;;03:40:05;APRES-MIDI
LICHTENBERG;Circuit des Fontaines;4;14;;00:50:40;SOIR
CHÂTEAUNEUF-SUR-CHARENTE;Boucle VTT - Châteauneuf : St Surin;1;10;;03:33:16;APRES-MIDI
SAINT-JEAN-DE-TRÉZY;La Trézyjeannoise;1;17;;02:39:40;SOIR
CRONAT;La Voie Verte, au fil de la Loire;2;19;;03:28:22;APRES-MIDI
AUTRECHÊNE;Circuit des autres chênes;5;13;;02:30:24;APRES-MIDI
AUTRECHÊNE;Circuit des autres chênes;2;13;;00:25:00;APRES-MIDI
SEVENANS;Les trois voies vertes;1;10;;01:58:19;SOIR
SEVENANS;Les trois voies vertes;4;16;;04:23:57;SOIR
MEYRIGNAC-L'ÉGLISE;Promenons-nous sur le sentier de l'étang;4;11;;03:48:28;MATIN
SAINT-HILAIRE-FOISSAC;Le Moulin de Saint-Hilaire;2;13;;02:38:50;APRES-MIDI
SAINT-MERD-DE-LAPLEAU;La Grotte des Maquisards;3;17;;00:07:54;APRES-MIDI
MOUSTIER-VENTADOUR;L'épave du camion allemand;4;18;;00:58:07;APRES-MIDI
MOUSTIER-VENTADOUR;Les Cascades de la Vigne;2;15;;02:28:42;MATIN
MOSNAC-SAINT-SIMEUX;Boucle VTT - St Simeux;6;20;;02:15:49;APRES-MIDI
SAINT-VAURY;Circuit de randonnée pédestre n° 19 Le tour du Puy des Trois-Cornes;3;12;;02:01:14;SOIR
JOUILLAT;Circuit de randonnée pédestre n° 22 Les Plateaux de Jouillat;4;19;;02:39:41;MATIN
JOUILLAT;Circuit de randonnée pédestre n° 23 La Plage de Lavaud;4;13;;04:50:10;SOIR
CHAMBERAUD;"Circuit Pédestre N°18 : ""Chamberaud - Château de Massenon""";6;12;;01:39:58;APRES-MIDI
SAINT-ÉLOI;Circuit de randonnée pédestre n° 21 Le Camp de César;1;13;;03:46:50;MATIN
SAVIGNY-SUR-GROSNE;Boucle 11 : Boucle des lavoirs;3;15;;04:51:59;MATIN
SAVIGNY-SUR-GROSNE;Boucle 13 : De la Grosne à la Guye;3;20;;04:04:08;MATIN
SAVIGNY-SUR-GROSNE;Boucle 9 : Sur la route des jonquilles;3;16;;01:02:55;SOIR
CLUNY;La vallée du repentir;5;15;;00:24:36;SOIR
CLUNY;Autour de l'eau;6;15;;04:10:47;SOIR
BELFORT;Au pied des vosges;4;17;;04:24:21;MATIN
BELFORT;Au pied des vosges;1;15;;01:57:11;SOIR
BELFORT;Promenade François Mitterrand;6;12;;00:30:57;SOIR
BELFORT;Promenade François Mitterrand;2;16;;01:30:03;SOIR
BELFORT;La cité du Lion;6;10;;02:43:17;MATIN
BELFORT;La cité du Lion;4;19;;04:47:09;MATIN
TULLE;Parcours Tulle Nature : N°6 Tulle-Gimel les Cascades - Tulle;4;10;;01:04:13;APRES-MIDI
BOURGANEUF;"Circuit Pédestre N° 44 : ""Le champ des arbres""";1;12;;04:25:55;APRES-MIDI
ÉTRIGNY;Le Circuit de l'Eau Vive;6;20;;04:34:39;APRES-MIDI
MANCEY;Belvédère de la Roche d'Aujoux;2;11;;00:34:13;MATIN
LA ROCHE-POSAY;Boucle Sur le Chemin du Casino;6;10;;01:18:35;SOIR
LUCENAY-L'ÉVÊQUE;Randonner à Lucenay;2;14;;01:45:26;MATIN
LUCENAY-L'ÉVÊQUE;Circuit du patrimoine;3;12;;00:29:44;SOIR
MONTPELLIER;GORGES DE L'HÉRAULT ET GARRIGUE MONTPELLIÉRAINE EN MOTO;2;16;;02:04:20;MATIN
BROYE;AMUR Celte Broyes;6;15;;02:47:21;MATIN
MOISSEY;Le Loup Garou;6;13;;02:16:23;APRES-MIDI
LA MONTAGNE;Le Domaine Nordique;2;11;;00:09:45;APRES-MIDI
AIXE-SUR-VIENNE;Le Val de Vienne Tour - Grande Boucle de VTT;6;14;;04:31:21;SOIR
HERRLISHEIM;Circuit pédestre : le circuit de la pomme;4;16;;04:22:07;MATIN
LEUTENHEIM;Circuit pédestre : entre Eberbach et Sauer;5;16;;00:34:28;SOIR
RŒSCHWOOG;Circuit pédestre : Weckmann et la Moder;6;14;;04:58:04;SOIR
GAMBSHEIM;Circuit pédestre : la ligne des Amers;6;17;;01:55:56;SOIR
ROPPENHEIM;Circuit pédestre : une histoire de style;1;17;;02:04:44;MATIN
NEUHAEUSEL;Circuit pédestre : les forts au fil de l'eau;2;19;;01:43:33;APRES-MIDI
ROUNTZENHEIM-AUENHEIM;Circuit pédestre : un berceau de l'art Alsacien;2;17;;03:10:15;SOIR
SARLAT-LA-CANÉDA;Voie Verte Sarlat Cazoulès;3;12;;02:27:38;MATIN
HÉRICOURT-EN-CAUX;Parcours du Saint-Mellon;4;15;;04:50:14;APRES-MIDI
HÉRICOURT-EN-CAUX;Parcours du Saint-Mellon;5;17;;04:11:03;SOIR
ROUEN;Les deux Vallées;2;12;;04:04:58;APRES-MIDI
LES CARS;Parcours des daims n°1;5;20;;02:19:23;MATIN
CHIRÉ-EN-MONTREUIL;Circuit de la Vallée de l'Auxance;4;18;;00:42:38;MATIN
SAINT-AMAND-MONTROND;Circuit des écluses;1;15;;01:07:41;MATIN
ORVAL;Circuit de la Loubière;2;18;;01:52:50;MATIN
CHARENTON-DU-CHER;Circuit Charenton Vernais;6;15;;02:21:28;SOIR
SAINT-AMAND-MONTROND;Circuit de la vallée du Cher;2;14;;02:43:29;APRES-MIDI
SAINT-AMAND-MONTROND;Circuit du Grand Tertre;1;13;;04:42:36;SOIR
SAINT-AMAND-MONTROND;Circuit des deux vallées;1;20;;01:52:32;MATIN
SOUFFLENHEIM;Circuit pédestre : Sentier des potiers Soufflenheim-Gros Chêne;5;15;;02:08:48;APRES-MIDI
SOUFFLENHEIM;Circuit pédestre : Sentier des potiers Soufflenheim-Betschdorf;1;16;;04:45:19;MATIN
SAINTE-CROIX-AUX-MINES;N°08 : Bois Royal;2;12;;03:31:51;MATIN
SAINTE-MARIE-AUX-MINES;N°07 Le Tour du Rauenthal;3;18;;00:13:51;MATIN
COSNE-COURS-SUR-LOIRE;Balade d'Architecture contemporaine : Le long de la Loire;1;18;;02:47:20;APRES-MIDI
COSNE-COURS-SUR-LOIRE;Balade d'Architecture contemporaine : Le long de la Loire;5;11;;03:45:45;SOIR
SAINT-HILAIRE-LA-PALUD;Circuit cyclable 2 - St-Hilaire-la-Palud/Arçais/St-Georges-de-Rex;4;15;;00:34:14;MATIN
SAINT-HILAIRE-LA-PALUD;Circuit cyclable 2 - St-Hilaire-la-Palud/Arçais/St-Georges-de-Rex;2;19;;00:50:57;APRES-MIDI
CHÂTILLON-SUR-THOUET;Boucle vélo en vallée du Thouet : Les paysages de Gâtine;4;20;;04:13:21;MATIN
JAYAC;Boucle d'en Brousse;5;14;;00:18:04;MATIN
DONZENAC;Circuit cyclo sportif le pays de l'Ardoise;3;10;;03:27:27;SOIR
LACANAU;Le sentier de la Réserve Naturelle de l’étang de Cousseau;6;17;;02:25:27;MATIN
LE PIAN-SUR-GARONNE;Boucle locale de Le-Pian-sur-Garonne;1;11;;04:18:17;APRES-MIDI
LE PIAN-SUR-GARONNE;Boucle locale de Le-Pian-sur-Garonne;2;11;;04:56:22;MATIN
CASTETS ET CASTILLON;Boucle du Canal de Garonne;6;10;;01:31:42;SOIR
CASTETS ET CASTILLON;Boucle du Canal de Garonne;2;17;;03:32:46;MATIN
LE TEMPLE;Cache-cache en Médoc au Temple;3;15;;00:22:39;APRES-MIDI
SALAUNES;Cache-cache en Médoc à Salaunes;5;10;;02:44:14;MATIN
SAINT-GENIÈS;Boucle des Combes;4;10;;02:02:55;APRES-MIDI
SALIGNAC-EYVIGUES;Boucle du Moulin - Nadaillac;4;20;;02:33:41;MATIN
SAINT-SÉVERIN-D'ESTISSAC;Boucle du Nègre aux petits Clauds;6;20;;03:38:21;MATIN
SAINT-SÉVERIN-D'ESTISSAC;Boucle du Nègre aux petits Clauds;6;11;;04:16:01;MATIN
ANDERNOS-LES-BAINS;Boucle andernosienne : les plus belles balades du patrimoine;5;16;;02:50:54;SOIR
BARJAC;La Draille;4;17;;04:01:40;APRES-MIDI
LE BORN;Le Village mort du Mazel Chabrier;4;11;;02:30:11;MATIN
COULONGES-SUR-L'AUTIZE;Boucle vélo la vallée de l'Autize;3;15;;03:49:02;MATIN
COMMENSACQ;Grande Leyre landaise de Commensacq à Pissos;5;16;;04:21:39;MATIN
CHAMPMILLON;Boucle VTT - Champmillon;6;18;;02:15:25;MATIN
AZAY-LE-BRÛLÉ;Espace naturel sensible - La carrière de Ricou;4;18;;00:03:39;MATIN
LAIVES;Liaison Laives à Sennecey;1;11;;01:49:29;APRES-MIDI
PRISSÉ;Boucle 15 : Le Val Lamartinien : joyau paysager;2;18;;02:05:26;APRES-MIDI
MAISONNISSES;"Circuit Pédestre N°27 Maisonnisses ""les premiers maquis creusois""";2;11;;03:17:50;APRES-MIDI
MAISONNISSES;Circuit Pédestre N°6 Le Bois du Thouraud et le maquis;1;15;;04:04:08;MATIN
LÉPINAS;"Circuit Pédestre N°30 : ""Lépinas - Montégudet""";6;17;;02:13:10;APRES-MIDI
LÉPINAS;"Circuit Pédestre N°29 : ""Lépinas - La Terrade""";1;11;;03:12:58;APRES-MIDI
BERZÉ-LE-CHÂTEL;La Balade de Berzé;6;10;;04:10:25;APRES-MIDI
BLANOT;De Villages en Hameaux;1;14;;01:17:47;MATIN
VERGISSON;Sentier des Légendes;1;16;;04:12:57;MATIN
SAINT-GENGOUX-LE-NATIONAL;Boucle 8 : Chapaize;1;11;;03:36:14;MATIN
MASSILLY;Le Marais de Massilly;4;18;;02:54:32;MATIN
VAUTHIERMONT;Circuit de la rivière Saint-Nicolas;1;10;;04:16:39;SOIR
VAUTHIERMONT;Circuit de la rivière Saint-Nicolas;3;18;;00:57:24;MATIN
GIROMAGNY;Boucle des Auxelles;2;14;;03:39:01;APRES-MIDI
GIROMAGNY;Boucle des Auxelles;4;17;;01:13:20;MATIN
PUBERG;Circuit de Puberg;3;14;;04:19:27;SOIR
OBERMODERN-ZUTZENDORF;Circuit du Hamberg;2;13;;00:19:28;MATIN
LARRESSORE;Circuit patrimonial;2;13;;01:34:32;MATIN
DOURNAZAC;Variante circuit Marche Nordique de Montbrun;1;19;;03:47:46;APRES-MIDI
REIPERTSWILLER;Circuit de Reipertswiller;2;13;;03:01:28;SOIR
GIVRY;Boucle 2 : Balade en Côte Chalonnaise;2;18;;03:32:33;MATIN
GIVRY;Boucle 1 : Du bourg historique au vignoble;4;12;;00:15:07;SOIR
BUSSIÈRE-DUNOISE;Circuit de randonnée pédestre n° 2 La Combe de Balsac;6;14;;02:49:45;MATIN
BUSSIÈRE-DUNOISE;Circuit de randonnée pédestre n° 4 l'étang de la Vergne;4;16;;01:37:02;MATIN
BALBRONN;Les circuits de Bacchus - Loejele;5;20;;03:55:51;SOIR
MARIGNY;Au couchant;1;18;;00:20:18;APRES-MIDI
MARIGNY;Histoires d'eau;1;18;;01:09:35;MATIN
MARIGNY;Au levant;2;20;;00:31:18;MATIN
BAZAS;Sur les Pistes de Robin : les secrets de Bazas (2 à 5 ans);4;20;;04:45:27;SOIR
BAZAS;Sur les Pistes de Robin : les secrets de Bazas (2 à 5 ans);2;16;;03:52:49;MATIN
BAZAS;Sur les Pistes de Robin : les secrets de Bazas (6 & 7 ans);6;14;;01:55:58;MATIN
BAZAS;Sur les Pistes de Robin : les secrets de Bazas (6 & 7 ans);2;12;;02:23:11;MATIN
BAZAS;Sur les Pistes de Robin : les secrets de Bazas (8 à 10 ans);5;19;;04:05:49;SOIR
BAZAS;Sur les Pistes de Robin : les secrets de Bazas (8 à 10 ans);6;10;;04:55:36;MATIN
SAINT-PAUL-LIZONNE;Boucle de St Paul Lizonne;2;18;;04:12:51;SOIR
SAINT-PAUL-LIZONNE;Boucle de St Paul Lizonne;3;12;;04:45:41;MATIN
BERBIGUIÈRES;Boucle de Berbiguières;2;18;;03:04:23;MATIN
BERBIGUIÈRES;Boucle de Berbiguières;3;19;;03:58:16;SOIR
CUISERY;Bords de Saône et Voie Bressane;2;16;;03:15:50;APRES-MIDI
CUISERY;Montjay;2;19;;04:26:05;SOIR
MARNAY;La Ligne des escargots;2;13;;01:33:24;SOIR
MOLSHEIM;Les circuits de Bachhus Le Trotele;3;14;;01:03:22;MATIN
LAIZY;Sur les Hauteurs de Laizy;1;15;;01:11:43;MATIN
BRION;Circuit des Lavoirs;5;16;;03:32:37;MATIN
SENNECEY-LE-GRAND;Boucle Nord - Panoramique Nord du Massif;4;12;;00:53:35;APRES-MIDI
ARCACHON;Arcachon, le quartier du Moulleau;4;17;;02:27:31;MATIN
LARUNS;PumpTrack;5;12;;00:16:50;SOIR
MAUZÉ-SUR-LE-MIGNON;Circuit cyclable 8 - Mauzé-sur-le-Mignon et ses environs;5;15;;03:47:08;APRES-MIDI
MAUZÉ-SUR-LE-MIGNON;Circuit cyclable 8 - Mauzé-sur-le-Mignon et ses environs;4;10;;04:50:03;SOIR
ROUFFIGNAC-SAINT-CERNIN-DE-REILHAC;Boucle de Saint Cernin n° 30 / Saint-Cernin-de-Reilhac;3;13;;01:25:24;MATIN
SIMEYROLS;Boucle de Simeyrols;1;13;;03:28:41;MATIN
SIMEYROLS;Boucle de Simeyrols;1;19;;03:31:08;SOIR
SIMEYROLS;Boucle des Bernardies à Simeyrols;4;14;;02:04:27;APRES-MIDI
SIMEYROLS;Boucle des Bernardies à Simeyrols;1;19;;02:37:21;APRES-MIDI
ARBOIS;Trail du Cirque du Fer à Cheval;6;18;;01:41:47;SOIR
SAINT-GOBAIN;Sport Mécaniques à Crampons;5;19;;00:44:39;MATIN
GAMBSHEIM;Circuit pédestre : le sentier du patrimoine naturel et historique;2;13;;02:12:37;MATIN
VAL-DU-MIGNON;Circuit cyclable 10 - Découverte du Val-du-Mignon, 3 communes en 1;3;10;;04:24:14;APRES-MIDI
VAL-DU-MIGNON;Circuit cyclable 10 - Découverte du Val-du-Mignon, 3 communes en 1;1;11;;02:56:13;SOIR
COULON;Circuit cyclable 7 - Coulon/Magné;5;11;;03:41:33;APRES-MIDI
COULON;Circuit cyclable 7 - Coulon/Magné;4;10;;01:24:14;MATIN
LES EYZIES;Boucle de la Gissonie n°16 / Les Eyzies;6;10;;04:54:17;APRES-MIDI
ROUFFIGNAC-SAINT-CERNIN-DE-REILHAC;Boucle des Mammouths n° 31 / Rouffignac;6;13;;00:14:38;MATIN
LA CLAYETTE;Du haut de La Clayette au bord du lac;1;20;;04:31:08;SOIR
LA CLAYETTE;Flore et Faune en Bord de Lac;3;14;;02:37:18;SOIR
BAZOLLES;Balade famille : le sentier de la libellule à l'étang de Vaux;6;10;;03:35:27;APRES-MIDI
BAZOLLES;Balade famille : le sentier de la libellule à l'étang de Vaux;2;19;;00:46:16;APRES-MIDI
BAZOLLES;Sentier de la nature des étangs de Baye et Vaux du martin pêcheur;3;18;;02:19:09;MATIN
BAZOLLES;Sentier de la nature des étangs de Baye et Vaux du martin pêcheur;2;17;;01:02:31;APRES-MIDI
BAZOLLES;Balade famille : Le sentier du Héron cendré à l'étang de Vaux;6;13;;00:19:00;SOIR
BAZOLLES;Balade famille : Le sentier du Héron cendré à l'étang de Vaux;5;20;;01:31:37;APRES-MIDI
VANDONCOURT;Circuit de découverte du patrimoine de Vandoncourt;5;19;;01:40:36;SOIR
LAMADELEINE-VAL-DES-ANGES;Sur les hauts de Lamadeleine-Val-des-Anges;1;11;;03:27:11;MATIN
LAMADELEINE-VAL-DES-ANGES;Sur les hauts de Lamadeleine-Val-des-Anges;3;16;;02:35:14;MATIN
LIBOURNE;Iconiques à vélo: le château de Vayres;3;14;;04:05:37;SOIR
PRATS-DE-CARLUX;Boucle des Hameaux de Prats;6;11;;01:41:55;SOIR
PRATS-DE-CARLUX;Boucle des Hameaux de Prats;3;19;;02:27:38;MATIN
PRATS-DE-CARLUX;Boucle des Gautheries à Prats de Carlux;1;19;;04:11:11;APRES-MIDI
PRATS-DE-CARLUX;Boucle des Gautheries à Prats de Carlux;2;11;;03:55:02;SOIR
VOUILLÉ;Circuit de la forêt de Vouillé Saint-Hilaire;4;18;;03:50:49;SOIR
CHÂTENAY;Le Tour des Roches;3;10;;04:19:39;SOIR
CHÂTENAY;Le Tour de l'Argolay;1;20;;03:09:51;SOIR
REMIGNY;Boucle C6 : La Vallée de la Dheune et la Côte Viticole;3;16;;00:28:50;APRES-MIDI
PERREUIL;La balade champetre du Perreuillois;3;14;;02:44:48;MATIN
BUCEY-LÈS-GY;Circuit pédestre des Pelouses;3;10;;03:45:22;APRES-MIDI
SAINT-DIDIER-SUR-ARROUX;Circuit VTT-FCC Saint-Didier-sur-Arroux;1;20;;04:31:48;APRES-MIDI
AUTUN;Circuit VTT-FFC 1;4;12;;03:13:45;MATIN
AUTUN;Autun - Trail 02;2;11;;02:14:43;MATIN
AUTUN;Autun - Trail 04;4;18;;01:53:33;MATIN
AUTUN;Autun - Trail 01;2;20;;01:42:53;MATIN
AUTUN;VTT XC Verte - La Pom;3;14;;01:19:34;MATIN
SAINT-GERVAIS-SUR-COUCHES;Le sentier de la Louve;3;17;;02:40:16;SOIR
SAINT-GENGOUX-LE-NATIONAL;Chemins de la Jouvencelle;1;14;;03:03:38;MATIN
COLLONGE-EN-CHAROLLAIS;Mer de Pierres;3;18;;00:48:36;SOIR
COLLONGE-EN-CHAROLLAIS;Sentier de la Résistance;5;15;;04:49:15;SOIR
BISSEY-SOUS-CRUCHAUD;Circuit des 3 Vallées;5;20;;03:49:57;SOIR
CERSOT;Le chemin des Celtes;2;15;;01:29:49;MATIN
GIBLES;Circuit des Collines;5;18;;01:28:19;APRES-MIDI
CHASSIGNY-SOUS-DUN;Circuit des Clochers;1;15;;04:11:51;SOIR
SAINT-MARTIN-DE-LIXY;Boucle intercommunale;1;19;;04:06:37;SOIR
SAINT-GENIÈS;Boucle des Etangs;3;17;;04:45:10;MATIN
ARÈS;Les réservoirs à poissons - balade dans la réserve naturelle des Prés Salés;5;18;;02:35:11;MATIN
ARÈS;Les réservoirs à poissons - balade dans la réserve naturelle des Prés Salés;2;15;;03:45:31;MATIN
ARÈS;Les prés salés, entre terre et mer;5;18;;02:31:16;SOIR
ARÈS;Les prés salés, entre terre et mer;3;16;;02:27:59;APRES-MIDI
BLAYE;Boucle à vélo Blaye-Lac de Saint-Christoly;4;13;;00:02:10;MATIN
VEYRIGNAC;Boucle de Veyrignac;2;13;;02:58:56;MATIN
VEYRIGNAC;Boucle de Veyrignac;5;11;;00:37:41;APRES-MIDI
LANDIRAS;Boucle de Landiras;5;15;;04:17:00;APRES-MIDI
LANDIRAS;Boucle de Landiras;3;13;;02:52:34;APRES-MIDI
BELLAC;C18 circuit cyclo autour de Bellac et du Lac de Saint-Pardoux;5;13;;02:52:30;MATIN
BELLAC;C11 circuit cyclo autour de Bellac et Mortemart;5;20;;02:10:09;MATIN
BELLAC;C19 circuit cyclo itinérant La Route du Haut Limousin;5;20;;02:02:27;MATIN
BELLAC;C10 circuit cyclo autour de Bellac et Bussière-Poitevine;1;14;;01:14:07;SOIR
BELLAC;C14 circuit cyclo autour de Bellac, Roussac et Bussière-Boffy;5;18;;04:37:34;MATIN
BELLAC;C13 circuit cyclo autour de Bellac et Berneuil;1;11;;04:12:10;APRES-MIDI
BELLAC;C12 circuit cyclo autour de Bellac et des Monts de Blond;3;12;;03:10:58;SOIR
MERLINES;VTT - Gravel - De Feyt à Monestier - 17 km - circuit 62;1;20;;03:12:53;APRES-MIDI
MERLINES;VTT - Gravel - Ruisseaux de Gioux - 13 km - circuit 65;3;19;;04:43:08;MATIN
MERLINES;VTT - Gorges du Chavanon - 29 km - circuit 67;4;16;;00:46:02;MATIN
SAINT-EXUPÉRY-LES-ROCHES;VTT - Gravel - Curieuses Eglises - 23 km - circuit 21;2;10;;04:46:11;APRES-MIDI
SAINT-EXUPÉRY-LES-ROCHES;VTT - Flore du Chavanon - 41 km - circuit 22;5;20;;01:43:44;SOIR
LOUHANS;Parcours de Mémoire de Louhans-Châteaurenaud;1;16;;02:11:42;APRES-MIDI
BOURBON-LANCY;CycloRoute71 - Etape 9 de Bourbon-Lancy à Paray-le-Monial;5;11;;01:05:47;MATIN
AUTUN;CycloRoute71 - Etape 7 d'Autun à Etang-sur-Arroux;5;15;;03:09:09;MATIN
CLUNY;CycloRoute71 - Etape 12 de Cluny à Mâcon;6;13;;00:39:29;SOIR
LA CLAYETTE;CycloRoute71 - Etape 11 de La Clayette à Cluny;3;15;;00:27:55;APRES-MIDI
ÉTANG-SUR-ARROUX;CycloRoute71 - Etape 8 d'Etang-sur-Arroux à Bourbon-Lancy;4;17;;00:17:56;MATIN
CHAMPAGNOLE;Sport 2000;2;12;;00:49:39;APRES-MIDI
LARUNS;Espace VTT d'Artouste;1;20;;03:20:53;SOIR
MIMIZAN;A Mimizan Plage, Sentier des Aigrettes;6;17;;02:28:57;MATIN
CADILLAC-SUR-GARONNE;Sur les Pistes de Robin : Cadillac, un jeu dans la ville (3-7 ans);6;10;;04:39:13;APRES-MIDI
CADILLAC-SUR-GARONNE;Sur les Pistes de Robin : Cadillac, un jeu dans la ville (3-7 ans);2;16;;01:30:52;SOIR
CADILLAC-SUR-GARONNE;Sur les Pistes de Robin : Cadillac, un jeu dans la ville (8-12 ans);4;16;;02:44:25;MATIN
CADILLAC-SUR-GARONNE;Sur les Pistes de Robin : Cadillac, un jeu dans la ville (8-12 ans);3;19;;00:54:05;SOIR
LE VERDON-SUR-MER;La Vélodyssée en Gironde - de la Pointe de Grave jusqu'à Arcachon;5;14;;04:41:51;MATIN
VENDAYS-MONTALIVET;Sentier pédagogique du Marais de la Perge;5;10;;02:42:56;APRES-MIDI
SAINT-AUVENT;"Circuit Uni'Vert Trail n°2 ""de la paix""";3;20;;00:21:56;MATIN
SAINT-AUVENT;"Circuit Uni'Vert Trail n°3 ""Via Agrippa""";1;16;;04:01:51;SOIR
COMBRESSOL;VTT - Gravel - Puits et fontaines - 32 km - circuit 17;2;15;;01:02:45;MATIN
COMBRESSOL;VTT - Gravel - Maison à tourelles - 13 km - circuit 15;3;16;;00:08:24;MATIN
COMBRESSOL;VTT - Gravel - Les Abbesses - 16 km - circuit 16;5;14;;02:59:57;MATIN
MEYMAC;VTT - Gravel - Les croix de Millevaches - 10 km - circuit 12;4;15;;02:14:34;APRES-MIDI
MEYMAC;VTT - Gravel - La ligne de crêtes - 30 km - circuit 14;5;10;;00:39:58;MATIN
MEYMAC;VTT - Gravel - La ronde du lac - 9 km - circuit 11;3;19;;02:03:22;APRES-MIDI
